measureType,king_kor,king_eng,city_ID,city_kor,city_eng,city_color,score,long,lat
degree,태조,Taejo,8,진주,Jinju,#F31764,0.06557,128.081181,35.191929
degree,태조,Taejo,9,홍주,Hongju,#7E17F3,0.06557,126.654899,36.621606
degree,태조,Taejo,10,합주,Hapju,#F31788,0.06557,128.10602,35.546972
degree,태조,Taejo,11,광주,Gwangju,#1732F3,0.11475,127.271336,37.404627
degree,태조,Taejo,12,승주,Seungju,#F31746,0.06557,127.400603,35.026826
degree,태조,Taejo,13,춘주,Chunju,#DECB69,0.06557,127.754494,37.873067
degree,태조,Taejo,14,동주,Dongju,#69DEC2,0.11475,126.16976,38.426495
degree,태조,Taejo,15,불명,unknown,#AAACB9,0.08197,0,0
degree,태조,Taejo,16,신주,Sinju,#69DEA7,0.06557,125.48408,38.357103
degree,태조,Taejo,17,의성,Uiseong,#F33F17,0.14754,128.64861,36.292603
degree,태조,Taejo,18,해평,Haepyeong,#F37417,0.06557,128.419557,36.239348
degree,태조,Taejo,19,청주,Cheongju,#9C17F3,0,127.509353,36.652229
degree,태조,Taejo,20,상주,Sangju,#AD17F3,0,128.166729,36.412928
degree,태조,Taejo,21,선산,Seonsan,#F35D17,0,128.301303,36.262579
degree,태조,Taejo,22,안산,Ansan,#3517F3,0,126.823336,37.315094
degree,태조,Taejo,23,이천,Icheon,#4917F3,0,127.42989,37.275543
degree,태조,Taejo,24,서천,Seocheon,#B06ECD,0,126.708324,36.085376
degree,태조,Taejo,25,양주,Yangju,#A2D6E2,0,127.105452,37.845503
degree,태조,Taejo,26,전주,Jeonju,#DE699E,0,127.145666,35.816365
degree,혜종,Hyejong,0,개경,Gaegyeong,#17ADF3,1.26761,126.619833,37.952269
degree,혜종,Hyejong,1,정주,Jeongju,#70C459,0.11268,125.206375,39.68846
degree,혜종,Hyejong,2,나주,Naju,#F31735,0.69014,126.718034,34.987771
degree,혜종,Hyejong,3,충주,Chungju,#7117F3,0.05634,127.898682,36.985383
degree,혜종,Hyejong,4,황주,Hwangju,#69DE82,0.11268,125.77577,38.669308
degree,혜종,Hyejong,5,경주,Gyeongju,#F32817,0.32394,129.220572,35.833987
degree,혜종,Hyejong,6,명주,Myeongju,#DEC069,0.11268,128.896978,37.788721
degree,혜종,Hyejong,7,평주,Pyeongju,#69DCDE,0.40845,126.408036,38.329214
degree,혜종,Hyejong,8,진주,Jinju,#F31764,0.35211,128.081181,35.191929
degree,혜종,Hyejong,9,홍주,Hongju,#7E17F3,0.05634,126.654899,36.621606
degree,혜종,Hyejong,10,합주,Hapju,#F31788,0.05634,128.10602,35.546972
degree,혜종,Hyejong,11,광주,Gwangju,#1732F3,0.25352,127.271336,37.404627
degree,혜종,Hyejong,12,승주,Seungju,#F31746,0.05634,127.400603,35.026826
degree,혜종,Hyejong,13,춘주,Chunju,#DECB69,0.05634,127.754494,37.873067
degree,혜종,Hyejong,14,동주,Dongju,#69DEC2,0.09859,126.16976,38.426495
degree,혜종,Hyejong,15,불명,unknown,#AAACB9,0.07042,0,0
degree,혜종,Hyejong,16,신주,Sinju,#69DEA7,0.05634,125.48408,38.357103
degree,혜종,Hyejong,17,의성,Uiseong,#F33F17,0.12676,128.64861,36.292603
degree,혜종,Hyejong,18,해평,Haepyeong,#F37417,0.05634,128.419557,36.239348
degree,혜종,Hyejong,19,청주,Cheongju,#9C17F3,0.29577,127.509353,36.652229
degree,혜종,Hyejong,20,상주,Sangju,#AD17F3,0,128.166729,36.412928
degree,혜종,Hyejong,21,선산,Seonsan,#F35D17,0,128.301303,36.262579
degree,혜종,Hyejong,22,안산,Ansan,#3517F3,0,126.823336,37.315094
degree,혜종,Hyejong,23,이천,Icheon,#4917F3,0,127.42989,37.275543
degree,혜종,Hyejong,24,서천,Seocheon,#B06ECD,0,126.708324,36.085376
degree,혜종,Hyejong,25,양주,Yangju,#A2D6E2,0,127.105452,37.845503
degree,혜종,Hyejong,26,전주,Jeonju,#DE699E,0,127.145666,35.816365
degree,정종,Jeongjong,0,개경,Gaegyeong,#17ADF3,1.38961,126.619833,37.952269
degree,정종,Jeongjong,1,정주,Jeongju,#70C459,0.1039,125.206375,39.68846
degree,정종,Jeongjong,2,나주,Naju,#F31735,0.63636,126.718034,34.987771
degree,정종,Jeongjong,3,충주,Chungju,#7117F3,0.28571,127.898682,36.985383
degree,정종,Jeongjong,4,황주,Hwangju,#69DE82,0.1039,125.77577,38.669308
degree,정종,Jeongjong,5,경주,Gyeongju,#F32817,0.2987,129.220572,35.833987
degree,정종,Jeongjong,6,명주,Myeongju,#DEC069,0.1039,128.896978,37.788721
degree,정종,Jeongjong,7,평주,Pyeongju,#69DCDE,0.37662,126.408036,38.329214
degree,정종,Jeongjong,8,진주,Jinju,#F31764,0.32468,128.081181,35.191929
degree,정종,Jeongjong,9,홍주,Hongju,#7E17F3,0.05195,126.654899,36.621606
degree,정종,Jeongjong,10,합주,Hapju,#F31788,0.05195,128.10602,35.546972
degree,정종,Jeongjong,11,광주,Gwangju,#1732F3,0.23377,127.271336,37.404627
degree,정종,Jeongjong,12,승주,Seungju,#F31746,0.32468,127.400603,35.026826
degree,정종,Jeongjong,13,춘주,Chunju,#DECB69,0.05195,127.754494,37.873067
degree,정종,Jeongjong,14,동주,Dongju,#69DEC2,0.09091,126.16976,38.426495
degree,정종,Jeongjong,15,불명,unknown,#AAACB9,0.06494,0,0
