name,id,group,Sales,Attendance ,Screen,Nomal_Attendance,Happy,Surprise,Boring,Sad,Anger,Disgust,Fear
The Scam,496,crime,10198304795,1534407,393,3904.343511,0.46,0.21,0.09,0.09,0.04,0.01,0.1
A Cruel Attendance,497,comedy,2076522300,348508,240,1452.116667,0.37,0.27,0.07,0.13,0.04,0.05,0.06
Puss In Boots,498,adventure,17601188500,2080154,593,3507.848229,0.66,0.17,0.06,0.07,0.03,0.01,0.01
"Jack The Giant Killer, Jack the Giant Slayer",499,fantasy,7376481000,956154,507,1885.905325,0.37,0.14,0.15,0.13,0.06,0.04,0.11
Jack Reacher,500,action,5758577000,784031,431,1819.097448,0.35,0.13,0.13,0.16,0.09,0.02,0.11
Red Cliff,501,action,10218959760,1573621,447,3520.404922,0.34,0.19,0.14,0.16,0.12,0.02,0.02
Red Cliff2,502,action,17910684413,2713031,426,6368.617371,0.31,0.21,0.16,0.17,0.09,0.03,0.04
Born To Sing,503,comedy,6685476000,977873,581,1683.086059,0.42,0.27,0.12,0.14,0.04,0.02,0
Jeon Woochi : The Taoist Wizard,504,action,44605437017,6136928,606,10126.94389,0.56,0.2,0.07,0.1,0.04,0.01,0.01
Jumper,505,sf,10999769000,1685405,353,4774.518414,0.41,0.11,0.08,0.2,0.09,0.04,0.06
The Weird Missing Case of Mr. J,506,comedy,2321588076,322459,238,1354.869748,0.24,0.08,0.1,0.23,0.22,0.12,0.01
"Jeni, Juno",507,drama,1283847500,216516,99,2187.030303,0.2,0.18,0.07,0.16,0.17,0.21,0.02
Zero Dark Thirty,508,war,780080000,108991,258,422.4457364,0.18,0.23,0.16,0.11,0.09,0.07,0.16
Zodiac,509,crime,1134477500,172846,109,1585.743119,0.13,0.1,0.22,0.08,0.05,0.15,0.27
DetectiveK,510,comedy,35841769500,4786259,611,7833.484452,0.53,0.25,0.08,0.09,0.03,0.01,0.02
My Wife Is A GangsterIII,511,action,8851336500,1468191,372,3946.75,0.61,0.16,0.06,0.1,0.04,0.04,0.01
Skeletons In The Closet,512,drama,1849140000,306470,173,1771.50289,0.49,0.19,0.14,0.1,0.06,0.01,0.02
Crying Fist,513,drama,9322812000,1462972,249,5875.389558,0.18,0.4,0.09,0.26,0.05,0.02,0.01
"Juon-Old Lady In White, Girl In Black",514,horror,2133345728,308057,145,2124.531034,0.16,0.06,0.05,0.14,0.07,0.06,0.45
Attack The GasStation2,515,action,5466499511,742475,322,2305.822981,0.39,0.08,0.11,0.16,0.18,0.08,0.01
The Scarlet Letter,516,thriller,6648890000,1030272,190,5422.484211,0.15,0.3,0.05,0.2,0.13,0.11,0.07
"LosojosdeJulia, Julia's Eyes",517,mystery,1827211000,236359,232,1018.788793,0.11,0.18,0.06,0.06,0.03,0.03,0.53
